CIDR,ASN,Hits
135.129.31.0/24,14593,1430
135.129.32.0/24,14593,1460
135.129.33.0/24,14593,2604
135.129.34.0/24,14593,1463
135.129.36.0/24,14593,1487
135.129.37.0/24,14593,1497
135.129.38.0/24,14593,1487
135.129.39.0/24,14593,2326
135.129.4.0/24,14593,2597
135.129.40.0/24,14593,1460
135.129.41.0/24,14593,1463
135.129.42.0/24,14593,1480
135.129.43.0/24,14593,2604
135.129.44.0/24,14593,1428
135.129.45.0/24,14593,2610
135.129.46.0/24,14593,1463
135.129.47.0/24,14593,2604
135.129.48.0/24,14593,1497
135.129.49.0/24,14593,1480
135.129.5.0/24,14593,2600
135.129.50.0/24,14593,1484
135.129.51.0/24,14593,1426
135.129.52.0/24,14593,2326
135.129.53.0/24,14593,1436
135.129.54.0/24,14593,1400
135.129.55.0/24,14593,1400
135.129.56.0/24,14593,1414
135.129.57.0/24,14593,1460
135.129.58.0/24,14593,1463
135.129.59.0/24,14593,1394
135.129.6.0/24,14593,1460
135.129.60.0/24,14593,1505
135.129.61.0/24,14593,1460
135.129.62.0/24,14593,1463
135.129.63.0/24,14593,1460
135.129.7.0/24,14593,1400
135.129.8.0/24,14593,1505
135.129.9.0/24,14593,1484
137.83.112.0/24,14593,1457
137.83.113.0/24,14593,1486
137.83.114.0/24,14593,2598
137.83.116.0/24,14593,1392
137.83.117.0/24,14593,1436
137.83.118.0/24,14593,1387
137.83.121.0/24,14593,2331
137.83.122.0/24,14593,2333
137.83.123.0/24,14593,1475
137.83.124.0/24,14593,1475
137.83.125.0/24,14593,1760
137.83.126.0/24,14593,1709
138.84.32.0/22,14593,1420
138.84.36.0/24,14593,1366
138.84.37.0/24,14593,1421
138.84.38.0/23,14593,1428
138.84.40.0/23,14593,1425
138.84.42.0/24,14593,1401
138.84.43.0/24,14593,1428
138.84.44.0/23,14593,1420
138.84.46.0/24,14593,1425
138.84.47.0/24,14593,1421
138.84.48.0/23,14593,1425
138.84.50.0/24,14593,1428
138.84.51.0/24,14593,1403
138.84.52.0/24,14593,1419
138.84.53.0/24,14593,1425
138.84.54.0/23,14593,1420
138.84.56.0/24,14593,1420
138.84.57.0/24,14593,1367
138.84.58.0/24,14593,1401
138.84.59.0/24,14593,1420
138.84.60.0/24,14593,1420
138.84.61.0/24,14593,1371
138.84.62.0/23,14593,1420
14.1.64.0/22,14593,1708
14.1.68.0/24,14593,2489
14.1.69.0/24,14593,1499
14.1.70.0/24,14593,1498
14.1.71.0/24,14593,2516
14.1.76.0/24,14593,1393
14.1.77.0/24,14593,1499
14.1.78.0/23,14593,2506
14.1.80.0/24,14593,2516
14.1.81.0/24,14593,1392
14.1.82.0/23,14593,2506
14.1.84.0/22,14593,2506
14.1.88.0/24,14593,2516
14.1.89.0/24,14593,1498
14.1.90.0/24,14593,2516
14.1.91.0/24,14593,2506
14.1.92.0/24,14593,1708
14.1.93.0/24,14593,2479
143.131.0.0/24,14593,1393
143.131.1.0/24,14593,1398
143.131.10.0/24,14593,1382
143.131.11.0/24,14593,1403
143.131.12.0/24,14593,1362
143.131.13.0/24,14593,1420
143.131.14.0/24,14593,1377
143.131.15.0/24,14593,1360
143.131.2.0/24,14593,1701
143.131.3.0/24,14593,2492
143.131.4.0/24,14593,1362
143.131.5.0/24,14593,1389
143.131.6.0/24,14593,1377
143.131.7.0/24,14593,1395
143.131.8.0/24,14593,1364
143.131.9.0/24,14593,1362
145.224.104.0/22,14593,1423
145.224.108.0/24,14593,1395
145.224.109.0/24,14593,1372
145.224.110.0/23,14593,1372
145.224.112.0/21,14593,1423
145.224.120.0/22,14593,1423
145.224.124.0/22,14593,1381
145.224.64.0/21,14593,1372
145.224.72.0/21,14593,1423
145.224.80.0/24,14593,1374
145.224.81.0/24,14593,1394
145.224.82.0/23,14593,1423
145.224.84.0/24,14593,1410
145.224.85.0/24,14593,1395
145.224.86.0/24,14593,1423
145.224.87.0/24,14593,1423
145.224.88.0/22,14593,1374
145.224.92.0/24,14593,1374
145.224.93.0/24,14593,1423
145.224.94.0/24,14593,1372
145.224.95.0/24,14593,1422
145.224.96.0/21,14593,1423
148.222.128.0/23,14593,1403
148.222.130.0/23,14593,1421
148.222.132.0/23,14593,1420
148.222.134.0/24,14593,1403
148.222.135.0/24,14593,1421
148.222.192.0/23,14593,1401
148.222.194.0/23,14593,1419
148.222.196.0/24,14593,1427
148.222.197.0/24,14593,1401
148.222.198.0/23,14593,1424
148.222.200.0/24,14593,1424
148.222.201.0/24,14593,1427
148.222.202.0/23,14593,1419
148.222.204.0/23,14593,1420
148.222.206.0/23,14593,1401
148.222.208.0/23,14593,1393
148.222.210.0/23,14593,1401
148.222.212.0/23,14593,1425
148.222.214.0/23,14593,1418
148.222.216.0/24,14593,1400
148.222.217.0/24,14593,1418
149.19.108.0/23,14593,2751
149.19.160.0/24,14593,1425
149.19.161.0/24,14593,1428
149.19.162.0/24,14593,1424
149.19.163.0/24,14593,1425
149.19.164.0/22,14593,1403
149.19.168.0/23,14593,1419
149.19.170.0/24,14593,1365
149.19.171.0/24,14593,1365
149.19.172.0/23,14593,1402
149.19.174.0/24,14593,1425
149.19.175.0/24,14593,1403
162.43.192.0/22,14593,1423
164.152.165.0/24,14593,1372
169.150.16.0/24,14593,1369
169.150.17.0/24,14593,1362
169.150.18.0/24,14593,1388
169.155.224.0/21,14593,1423
169.155.232.0/24,14593,1423
169.155.233.0/24,14593,1381
169.155.234.0/23,14593,1380
169.155.236.0/23,14593,1380
169.155.238.0/23,14593,1373
169.155.240.0/23,14593,1423
169.155.242.0/23,14593,1373
169.155.244.0/22,14593,1374
169.155.248.0/22,14593,1381
169.155.252.0/22,14593,1373
170.203.192.0/23,14593,1420
170.203.194.0/24,14593,1393
170.203.195.0/24,14593,2506
170.203.196.0/23,14593,1395
170.203.198.0/24,14593,1395
170.203.199.0/24,14593,1423
170.203.200.0/21,14593,1389
170.203.208.0/21,14593,1389
170.203.216.0/23,14593,1389
170.203.218.0/23,14593,1389
170.203.220.0/23,14593,1387
170.203.222.0/24,14593,1423
170.203.223.0/24,14593,1423
170.203.64.0/24,14593,1381
170.203.65.0/24,14593,1389
170.203.66.0/24,14593,2482
170.203.67.0/24,14593,1362
170.203.68.0/24,14593,1425
170.203.69.0/24,14593,1370
170.203.70.0/24,14593,1362
170.203.71.0/24,14593,1371
170.203.72.0/24,14593,1362
170.203.73.0/24,14593,1423
170.203.74.0/24,14593,1423
170.203.75.0/24,14593,1374
170.203.76.0/24,14593,1365
170.203.77.0/24,14593,1381
170.203.78.0/24,14593,1382
170.203.79.0/24,14593,1423
170.203.80.0/24,14593,1421
170.203.81.0/24,14593,1403
170.203.82.0/24,14593,2517
170.203.83.0/24,14593,1393
170.203.84.0/24,14593,1428
170.203.85.0/24,14593,2319
170.203.86.0/24,14593,1389
170.203.87.0/24,14593,1370
170.203.88.0/24,14593,1382
170.203.89.0/24,14593,1420
170.203.90.0/24,14593,1371
170.203.91.0/24,14593,1370
170.203.92.0/24,14593,1389
170.203.93.0/24,14593,1365
170.203.94.0/24,14593,1382
170.203.95.0/24,14593,2517
173.250.200.0/24,14593,1363
173.250.208.0/24,14593,1367
173.250.209.0/24,14593,1369
173.250.210.0/24,14593,1392
173.250.211.0/24,14593,1373
173.250.212.0/24,14593,1393
173.250.213.0/24,14593,1365
173.250.214.0/24,14593,1374
173.250.215.0/24,14593,1371
173.250.216.0/24,14593,1423
173.250.217.0/24,14593,2508
173.250.218.0/24,14593,1420
173.250.219.0/24,14593,1370
173.250.220.0/24,14593,1389
173.250.221.0/24,14593,1395
173.250.222.0/24,14593,1367
173.250.223.0/24,14593,1423
176.116.124.0/23,14593,1380
179.60.168.0/22,14593,1393
179.60.172.0/24,14593,1402
179.60.173.0/24,14593,1420
179.60.174.0/23,14593,1419
188.92.248.0/22,14593,1423
188.92.252.0/23,14593,1380
188.92.254.0/24,14593,1395
188.92.255.0/24,14593,1395
188.95.144.0/23,14593,1423
198.54.103.0/24,14593,1428
200.189.16.0/23,14593,1428
200.189.18.0/24,14593,1425
200.189.19.0/24,14593,1367
200.189.20.0/23,14593,1420
200.189.22.0/24,14593,1420
200.189.23.0/24,14593,1417
200.189.24.0/23,14593,1403
200.189.26.0/23,14593,1424
200.189.28.0/23,14593,1402
200.189.30.0/24,14593,1421
200.189.31.0/24,14593,1421
203.17.80.0/24,14593,2492
203.17.81.0/24,14593,1423
203.17.82.0/24,14593,1423
203.17.83.0/24,14593,1398
203.17.84.0/24,14593,2516
203.17.85.0/24,14593,2518
203.17.86.0/24,14593,1398
203.17.87.0/24,14593,1500
205.174.157.0/24,14593,1388
206.214.224.0/24,14593,1480
206.214.225.0/24,14593,1437
206.214.226.0/24,14593,1451
206.214.227.0/24,14593,2587
206.214.228.0/24,14593,1389
206.214.229.0/24,14593,1369
206.214.239.0/24,14593,1389
206.224.64.0/20,14593,2739
206.224.64.0/21,14593,1417
206.224.80.0/23,14593,1389
206.224.80.0/24,14593,1389
206.224.81.0/24,14593,1389
206.224.82.0/23,14593,1375
206.224.82.0/24,14593,1375
206.224.83.0/24,14593,1375
206.224.84.0/23,14593,1362
206.224.84.0/24,14593,1362
206.224.85.0/24,14593,1362
206.224.86.0/23,14593,1369
206.224.86.0/24,14593,1369
206.224.87.0/24,14593,1369
206.224.88.0/23,14593,1362
206.224.88.0/24,14593,1362
206.224.89.0/24,14593,1362
206.224.90.0/23,14593,1355
206.224.90.0/24,14593,1394
206.224.91.0/24,14593,1393
206.224.92.0/24,14593,1355
206.224.95.0/24,14593,6
206.83.104.0/24,14593,1393
206.83.105.0/24,14593,2510
206.83.106.0/24,14593,1393
206.83.107.0/24,14593,2510
206.83.108.0/24,14593,1398
206.83.109.0/24,14593,1392
206.83.110.0/24,14593,1398
206.83.111.0/24,14593,2483
206.83.112.0/21,14593,2514
206.83.120.0/22,14593,2515
206.83.124.0/23,14593,1393
206.83.126.0/24,14593,1505
206.83.127.0/24,14593,1500
206.83.96.0/21,14593,2479
209.198.128.0/23,14593,1373
209.198.130.0/24,14593,1374
209.198.131.0/24,14593,1395
209.198.132.0/22,14593,1423
209.198.136.0/23,14593,1423
209.198.138.0/24,14593,1422
209.198.139.0/24,14593,1423
209.198.140.0/23,14593,1423
209.198.142.0/24,14593,1374
209.198.143.0/24,14593,1372
209.198.144.0/21,14593,1423
209.198.152.0/21,14593,1423
212.105.128.0/23,14593,1368
212.105.130.0/23,14593,1368
212.105.132.0/23,14593,1379
212.105.134.0/24,14593,1388
212.105.135.0/24,14593,1373
212.105.136.0/24,14593,1373
212.105.137.0/24,14593,1380
212.105.138.0/24,14593,1408
212.105.139.0/24,14593,1422
212.105.140.0/23,14593,1380
212.105.144.0/24,14593,1388
212.105.145.0/24,14593,1373
212.105.146.0/23,14593,1373
212.105.148.0/24,14593,1422
212.105.149.0/24,14593,1361
212.105.150.0/24,14593,1373
212.105.151.0/24,14593,1380
216.128.0.0/24,14593,1423
216.128.1.0/24,14593,1372
216.128.10.0/23,14593,1380
216.128.12.0/24,14593,1423
216.128.13.0/24,14593,1374
216.128.14.0/23,14593,1423
216.128.16.0/24,14593,1395
216.128.17.0/24,14593,1372
216.128.18.0/23,14593,1395
216.128.2.0/23,14593,1374
216.128.20.0/23,14593,1423
216.128.22.0/23,14593,1381
216.128.24.0/24,14593,1423
216.128.25.0/24,14593,1394
216.128.26.0/23,14593,1394
216.128.28.0/23,14593,1374
216.128.30.0/23,14593,1373
216.128.4.0/24,14593,1395
216.128.5.0/24,14593,1381
216.128.6.0/24,14593,1395
216.128.7.0/24,14593,1395
216.128.8.0/24,14593,1423
216.128.9.0/24,14593,1374
216.147.120.0/21,14593,1363
216.180.80.0/24,14593,1408
216.180.81.0/24,14593,1403
216.180.82.0/24,14593,1369
216.180.83.0/24,14593,2311
216.180.84.0/24,14593,1421
217.142.16.0/22,14593,1423
217.142.20.0/22,14593,1388
217.142.24.0/24,14593,1389
217.142.25.0/24,14593,1407
217.142.26.0/24,14593,1388
217.142.27.0/24,14593,1407
217.142.28.0/24,14593,1388
217.142.29.0/24,14593,1389
217.142.30.0/24,14593,1407
217.142.31.0/24,14593,1389
217.65.136.0/22,14593,1423
217.65.140.0/24,14593,1423
217.65.141.0/24,14593,1381
217.65.142.0/24,14593,1423
217.65.143.0/24,14593,1374
65.181.0.0/22,14593,2514
65.181.10.0/24,14593,2516
65.181.11.0/24,14593,2520
65.181.12.0/22,14593,2515
65.181.16.0/22,14593,1398
65.181.20.0/22,14593,2487
65.181.24.0/23,14593,1707
65.181.26.0/23,14593,2516
65.181.28.0/24,14593,1392
65.181.29.0/24,14593,1392
65.181.30.0/24,14593,2489
65.181.31.0/24,14593,2516
65.181.4.0/22,14593,1393
65.181.8.0/24,14593,1708
65.181.9.0/24,14593,1707
66.9.160.0/24,14593,2299
66.9.161.0/24,14593,1381
66.9.162.0/23,14593,1420
66.9.164.0/23,14593,1366
66.9.166.0/23,14593,1367
66.9.168.0/23,14593,1365
66.9.170.0/24,14593,1367
66.9.171.0/24,14593,1367
66.9.172.0/24,14593,1367
66.9.173.0/24,14593,1367
66.9.174.0/23,14593,1367
66.9.176.0/23,14593,1393
66.9.178.0/24,14593,1371
66.9.179.0/24,14593,1367
66.9.180.0/22,14593,1392
66.9.184.0/23,14593,1365
66.9.186.0/23,14593,1365
66.9.188.0/22,14593,1368
87.251.24.0/24,14593,1423
87.251.25.0/24,14593,1422
87.251.26.0/24,14593,1382
87.251.27.0/24,14593,1395
87.251.28.0/24,14593,1395
87.251.29.0/24,14593,1395
87.251.30.0/24,14593,1423
87.251.31.0/24,14593,1423
91.102.180.0/23,14593,1423
91.102.182.0/23,14593,1423
98.97.0.0/21,14593,1371
98.97.104.0/21,14593,1363
98.97.112.0/22,14593,1391
98.97.116.0/22,14593,1392
98.97.120.0/21,14593,1365
98.97.128.0/23,14593,1420
98.97.130.0/24,14593,1420
98.97.131.0/24,14593,1420
98.97.132.0/23,14593,1381
98.97.134.0/23,14593,1420
98.97.136.0/21,14593,1364
98.97.144.0/24,14593,1372
98.97.145.0/24,14593,2322
98.97.146.0/23,14593,1392
98.97.148.0/23,14593,1420
98.97.150.0/23,14593,1423
98.97.152.0/22,14593,1368
98.97.156.0/23,14593,1420
98.97.158.0/24,14593,1428
98.97.159.0/24,14593,2317
98.97.16.0/21,14593,1382
98.97.160.0/23,14593,1423
98.97.162.0/23,14593,2322
98.97.164.0/23,14593,1362
98.97.166.0/23,14593,1367
98.97.168.0/21,14593,1363
98.97.176.0/22,14593,2322
98.97.180.0/24,14593,1423
98.97.181.0/24,14593,2322
98.97.182.0/24,14593,2322
98.97.183.0/24,14593,2322
98.97.184.0/24,14593,1362
98.97.185.0/24,14593,1423
98.97.186.0/23,14593,1367
98.97.188.0/23,14593,1392
98.97.190.0/23,14593,1371
98.97.24.0/21,14593,1374
98.97.32.0/21,14593,1390
98.97.40.0/21,14593,1390
98.97.48.0/24,14593,1367
98.97.49.0/24,14593,1367
98.97.50.0/24,14593,1367
98.97.51.0/24,14593,1366
98.97.52.0/24,14593,1367
98.97.53.0/24,14593,1367
98.97.54.0/24,14593,1367
98.97.55.0/24,14593,1420
98.97.56.0/21,14593,1365
98.97.64.0/21,14593,1390
98.97.72.0/24,14593,1381
98.97.73.0/24,14593,1393
98.97.74.0/24,14593,1392
98.97.75.0/24,14593,2317
98.97.76.0/24,14593,1367
98.97.77.0/24,14593,2317
98.97.78.0/23,14593,2314
98.97.8.0/21,14593,1371
98.97.80.0/21,14593,1371
98.97.88.0/21,14593,1372
98.97.96.0/21,14593,1390
2406:2d40:2000::/38,14593,2629
2406:2d40:3000::/38,14593,2461
2406:2d40:3400::/38,14593,2461
2406:2d40:4000::/38,14593,2553
2406:2d40:4400::/38,14593,2554
2406:2d40:4c00::/38,14593,2554
2406:2d40:5000::/38,14593,1664
2406:2d40:5400::/38,14593,2579
2406:2d40:6000::/38,14593,2490
2406:2d40:7000::/38,14593,2511
2406:2d40:7400::/38,14593,2511
2406:2d40:8000::/38,14593,2489
2406:2d40:8400::/38,14593,2491
2406:2d40:9000::/38,14593,2553
2406:2d40:9400::/38,14593,2465
2406:2d40:c000::/38,14593,2534
2605:59c0:1000::/38,14593,1614
2605:59c0:1400::/38,14593,1614
2605:59c0:2000::/38,14593,1616
2605:59c0:3000::/38,14593,1642
2605:59c0:4000::/38,14593,1639
2605:59c0:400::/38,14593,1615
2605:59c0:5005::/48,14593,1605
2605:59c0:5006::/48,14593,1611
2605:59c0:500a::/48,14593,1611
2605:59c0:500c::/48,14593,1639
2605:59c0:500d::/48,14593,1627
2605:59c0:5013::/48,14593,2554
2605:59c0:5015::/48,14593,1603
2605:59c0:5016::/48,14593,2466
2605:59c0:5017::/48,14593,1618
2605:59c0:5019::/48,14593,2512
2605:59c0:501a::/48,14593,2041
2605:59c0:501f::/48,14593,1608
2605:59c0:5023::/48,14593,1633
2605:59c0:5027::/48,14593,1364
2605:59c0:5028::/48,14593,2488
2605:59c0:5029::/48,14593,1607
2605:59c0::/38,14593,1615
2605:59c7:2001::/48,14593,1625
2605:59c7:9000::/48,14593,1606
2605:59c7:9006::/48,14593,1607
2605:59c7:900a::/48,14593,1607
2605:59c7:f000::/42,14593,1628
2605:59c7:f000::/47,14593,1582
2605:59c7:f001::/48,14593,1624
2605:59c7:f002::/48,14593,1624
2605:59c7:f003::/48,14593,1614
2605:59c7:f004::/48,14593,1603
2605:59c7:f005::/48,14593,1604
2605:59c7:f0c0::/48,14593,1605
2605:59c8:1000::/38,14593,1617
2605:59c8:1400::/38,14593,1617
2605:59c8:1800::/38,14593,1617
2605:59c8:2000::/38,14593,1619
2605:59c8:2400::/38,14593,1619
2605:59c8:2800::/38,14593,1619
2605:59c8:2c00::/38,14593,1619
2605:59c8:3000::/38,14593,1608
2605:59c8:3400::/38,14593,1608
2605:59c8:4000::/38,14593,1617
2605:59c8:400::/38,14593,1632
2605:59c8:4400::/38,14593,1617
2605:59c8:5000::/38,14593,1611
2605:59c8:6000::/38,14593,1606
2605:59c8:6400::/38,14593,1606
2605:59c8:6800::/38,14593,1606
2605:59c8:7000::/38,14593,1644
2605:59c8:7400::/38,14593,1644
2605:59c8:8000::/40,14593,1599
2605:59c8:800::/38,14593,1632
2605:59c8::/38,14593,1632
2605:59c9:1000::/38,14593,1664
2605:59c9:400::/38,14593,1590
2605:59c9::/36,14593,1585
2605:59c9::/38,14593,1591
2605:59ca:1000::/38,14593,1624
2605:59ca:1400::/38,14593,1623
2605:59ca::/36,14593,1586
2605:59ca::/38,14593,1605
2620:134:b0ff::/48,14593,2728
2803:9810:2000::/48,14593,1635
2803:9810:3000::/38,14593,1642
2803:9810:4000::/38,14593,1643
2803:9810:4400::/38,14593,1643
2803:9810:4800::/38,14593,1642
2803:9810:5000::/38,14593,1647
2803:9810:5400::/38,14593,1647
2803:9810:6000::/38,14593,1630
2803:9810:7000::/38,14593,1633
2803:9810:8000::/38,14593,1644
2803:9810:9000::/38,14593,1644
2803:9810:a000::/38,14593,1613
2803:9810:a400::/38,14593,1613
2803:9810:b000::/38,14593,1637
2803:9810:b400::/38,14593,1637
2a0d:3340:f000::/38,14593,2426
2a0d:3340:f400::/38,14593,1621
2a0d:3341:b000::/38,14593,1662
2a0d:3341:c000::/38,14593,2428
2a0d:3341:c400::/38,14593,1613
2a0d:3344:1000::/38,14593,1660
2a0d:3344:1400::/38,14593,1660
2a0d:3344:1800::/38,14593,1661
2a0d:3344:1c00::/38,14593,1660
2a0d:3344:2000::/38,14593,1609
2a0d:3344:2400::/38,14593,1609
2a0d:3344:3000::/38,14593,1620
2a0d:3344:3400::/38,14593,1620
2a0d:3344:3800::/38,14593,1620
2a0d:3344:400::/38,14593,1607
2a0d:3344:800::/38,14593,1607
2a0d:3344::/38,14593,1607
2a0d:3344:c00::/38,14593,1607
2c0f:2a80:1000::/38,14593,1662
2c0f:2a80:1400::/38,14593,1662
2c0f:2a80:2000::/38,14593,1661
2c0f:2a80:2400::/38,14593,2496
2c0f:2a80:400::/38,14593,2546
2c0f:2a80:800::/38,14593,2545
2c0f:2a80::/38,14593,2545
103.228.240.0/22,45700,1450
116.254.96.0/23,45700,1449
116.254.98.0/23,45700,1450
119.11.204.0/23,45700,1450
119.11.204.0/24,45700,1437
119.11.205.0/24,45700,1438
202.125.100.0/24,45700,1448
202.125.101.0/24,45700,1437
27.131.248.0/23,45700,1450
27.131.250.0/24,45700,1450
27.131.251.0/24,45700,1438
